country_name,renewable_share_pct,import_reliance,market_carbon_tax,consumer_electricity_price
Luxembourg,85.95,68.981,80.87,0.203
Denmark,80.86,1883.339,80.87,0.522
Austria,78.19,3602.595,80.87,0.231
Latvia,75.94,45.229,80.87,0.238
Lithuania,74.75,336.8,80.87,0.196
Sweden,68.32,2277,80.87,0.251
Croatia,63.48,683.1,80.87,0.142
Portugal,59.59,10.004,80.87,0.221
Finland,53.57,4319,80.87,0.22
Germany,44.37,44791.061,80.87,0.332
Greece,43.45,85.711,80.87,0.227
Romania,43.15,1247.281,80.87,0.289
Spain,42.8,10363.48,80.87,0.321
Netherlands,40.1,9111.262,80.87,0.088
Ireland,39.21,1493.351,80.87,0.277
Italy,35.86,12125.89,80.87,0.338
Estonia,31.99,3,80.87,0.235
Slovenia,30.46,466.481,80.87,0.167
Belgium,25.9,4082.8,80.87,0.396
France,24.19,9126.354,80.87,0.215
Slovakia,21.93,3698,80.87,0.184
Hungary,21.41,935,80.87,0.102
Poland,21.1,20510.756,80.87,0.153
Bulgaria,19.15,1427.356,80.87,0.112
Cyprus,16.73,77.65,80.87,0.293
Malta,13.04,0,80.87,0.129
Czechia,12.86,5379.615,80.87,0.208
