,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
year,378.0,2016.5,4.036471658302069,2010.0,2013.0,2016.5,2020.0,2023.0,0.0,-1.212455035460993
co2,378.0,111.47662698412698,163.08305849014405,1.376,17.66125,46.587,103.87875,831.746,2.5758686785570477,7.0896867545833615
co2_per_capita,378.0,6.8951957671957675,2.945538435966151,3.022,4.81925,6.218,8.225750000000001,22.054,1.882222113632717,5.328114984393631
coal_co2,378.0,32.89406349206349,64.57392306074368,0.0,3.8152500000000003,12.344000000000001,28.7775,357.254,3.38127929098264,11.459434457434854
gas_co2,378.0,27.797965608465606,42.54923137254114,0.0,2.73325,9.2985,29.43225,184.875,2.1530669667379447,3.8580478961954334
oil_co2,378.0,45.95900793650794,64.73842359112244,0.864,8.125499999999999,20.991500000000002,42.34925,280.396,2.1456226563808207,3.7676109899993024
gdp,351.0,577749434801.3932,864404235958.451,9788869399.0,78553959710.0,254289117363.0,464776967624.5,3909612753939.0,2.286064937007643,4.657245308305628
renewable_capacity_mw,0.0,,,,,,,,,
net_imports_gwh,378.0,5839.011492063491,10098.92700005482,0.0,349.81624999999997,2285.399,5442.4,60327.0,3.312802461602273,12.37887343154222
elec_price_eur_kwh,378.0,0.18752552910052908,0.063765307334636,0.08215,0.13965,0.172475,0.22339999999999993,0.5215,1.1384356697377709,2.1196544949609573
elec_gen_clean_twh,378.0,61.49283068783069,106.76328992955087,0.0,8.015,22.21,52.082499999999996,530.51,2.9462729373939562,8.812461937515408
elec_gen_fossil_twh,378.0,44.45650793650794,72.35348686492725,0.15,4.635,17.509999999999998,44.2325,380.45,2.7845418723970883,8.310463930590103
elec_gen_hydro_twh,378.0,12.409947089947092,18.90072451693579,0.0,0.2225,3.635,15.860000000000001,78.93,1.777817767342426,2.1240705662911195
elec_gen_nuclear_twh,378.0,28.06452380952381,76.43672637133805,0.0,0.0,0.0,22.7975,442.39,4.3887484630412095,19.18343603476709
elec_gen_renewables_twh,378.0,33.42830687830688,48.25546498142994,0.0,4.335,12.14,32.622499999999995,277.1,2.2737609117760993,5.748644219945104
elec_gen_solar_twh,378.0,4.329126984126984,9.610535417603433,0.0,0.07,0.595,2.745,63.87,3.3700622708702195,12.535756470068119
elec_gen_wind_twh,373.0,11.100563002680966,20.75426595491484,0.0,0.48,3.67,12.35,140.54,3.599141722534741,15.254346733839801
elec_gen_total_twh,0.0,,,,,,,,,
carbon_price_eur_tonne,378.0,24.945714285714285,26.84388119686224,4.45,5.96,13.725000000000001,24.84,85.3,1.3920059590045053,0.4137286856775382
