year,coefficient_of_variation,sd_of_logs
2010,0.3954711006401036,0.3499289691030538
2011,0.4123858007443454,0.3690064849616227
2012,0.3911519064675481,0.3594336796563883
2013,0.4185673474477292,0.3626077707885902
2014,0.42095088625158483,0.36976512150578084
2015,0.3864493145730967,0.3640713965199598
2016,0.405670806199276,0.3798288909034718
2017,0.4216963470568447,0.3916863038138128
2018,0.40395586944256495,0.38228428324970887
2019,0.33750020042436385,0.3493652660957977
2020,0.30542988698271406,0.3254755709374453
2021,0.32464503465200706,0.3376464014330698
2022,0.3598318133725986,0.3522880366887552
2023,,
