year,clean_generation_ratio,fossil_generation_ratio
2010,0.40904464553542674,0.5909553544645733
2011,0.4067088229298801,0.59329117707012
2012,0.4337846031637195,0.5662153968362805
2013,0.47032770650564004,0.52967229349436
2014,0.4962975631913168,0.5037024368086832
2015,0.49114409571653944,0.5088559042834605
2016,0.5129297034123041,0.48707029658769585
2017,0.5180895406107107,0.4819104593892894
2018,0.5333293664489064,0.46667063355109356
2019,0.5523894687662714,0.44761053123372857
2020,0.5832908919866358,0.41670910801336425
2021,0.5873882916978367,0.41261170830216337
2022,0.5959777169469783,0.4040222830530216
2023,0.6577390420719259,0.34226095792807415
