country_name,year,co2,co2_per_capita,coal_co2,gas_co2,oil_co2,gdp,renewable_capacity_mw,net_imports_gwh,elec_price_eur_kwh,elec_gen_clean_twh,elec_gen_fossil_twh,elec_gen_hydro_twh,elec_gen_nuclear_twh,elec_gen_renewables_twh,elec_gen_solar_twh,elec_gen_wind_twh,elec_gen_total_twh,carbon_price_eur_tonne
Austria,2010,72.0,8.607,15.497,18.778,34.785,338832243101.0,,5021.898,0.19485000000000002,44.99,22.83,38.36,0.0,44.99,0.09,2.06,,14.38
Austria,2011,69.892,8.327,15.818,17.73,33.269,349713455451.0,,4637.746,0.19755,40.91,21.29,34.24,0.0,40.91,0.17,1.94,,13.07
Austria,2012,67.26,7.977,14.686,16.945,32.627,352093108730.0,,4952.506,0.19995000000000002,51.33,17.32,43.85,0.0,51.33,0.34,2.46,,7.33
Austria,2013,67.759,7.989,14.959,16.332,33.45,352182904722.0,,4594.823,0.20500000000000002,50.5,14.05,42.02,0.0,50.5,0.63,3.15,,4.45
Austria,2014,64.159,7.506,13.801,14.947,32.413,354511819035.0,,4548.633,0.2004,50.2,11.35,41.01,0.0,50.2,0.79,3.85,,5.96
Austria,2015,66.358,7.677,14.371,15.966,32.995,358108266932.0,,4142.823,0.1996,47.59,14.19,37.16,0.0,47.59,0.94,4.84,,7.68
Austria,2016,67.219,7.693,13.334,16.737,34.108,365232738553.0,,4303.615,0.2022,51.08,13.79,39.97,0.0,51.08,1.1,5.23,,5.35
Austria,2017,69.601,7.91,14.023,17.975,34.546,373481694490.0,,4647.085,0.19640000000000002,51.05,16.04,38.29,0.0,51.05,1.27,6.57,,5.83
Austria,2018,66.567,7.529,12.294,17.019,34.087,382540042762.0,,4031.04,0.1989,50.06,14.61,37.64,0.0,50.06,1.46,6.03,,15.88
Austria,2019,67.951,7.651,13.005,17.791,34.088,388344674039.0,,4108.781,0.2054,54.64,16.05,40.83,0.0,54.64,1.7,7.45,,24.84
Austria,2020,62.18,6.97,11.371,16.959,30.779,363281092036.0,,3601.243,0.2139,55.42,13.61,42.0,0.0,55.42,2.04,6.79,,24.75
Austria,2021,65.751,7.333,12.408,17.923,32.17,379835198584.0,,3764.317,0.22505,52.75,13.92,38.75,0.0,52.75,2.78,6.74,,53.55
Austria,2022,61.454,6.78,11.663,15.968,30.702,398815419150.0,,3602.595,0.23095,50.41,14.06,34.63,0.0,50.41,3.79,7.24,,80.87
Austria,2023,56.909,6.233,11.146,13.634,29.376,,,3518.501,0.27005,60.16,10.82,40.67,0.0,60.16,6.89,8.04,,85.3
Belgium,2010,114.563,10.475,17.526,40.339,51.153,411261674695.0,,6763.0,0.19665,54.51,38.53,0.31,47.94,6.57,0.58,1.3,,14.38
Belgium,2011,105.159,9.526,16.689,34.572,48.22,420934235947.0,,6558.0,0.21275,56.59,32.69,0.2,48.23,8.36,1.21,2.32,,13.07
Belgium,2012,102.486,9.227,15.078,34.911,47.133,424045845634.0,,5968.0,0.22749999999999998,50.8,30.71,0.36,40.29,10.51,2.15,2.76,,7.33
Belgium,2013,102.816,9.213,15.269,35.272,47.229,425993254852.0,,6070.0,0.21939999999999998,54.36,27.59,0.38,42.64,11.72,2.64,3.67,,4.45
Belgium,2014,97.081,8.66,14.725,30.995,46.313,432717694183.0,,5925.0,0.20700000000000002,45.91,25.29,0.29,33.7,12.21,2.89,4.62,,5.96
Belgium,2015,101.327,8.987,14.381,33.812,48.237,441551470878.0,,4920.7,0.2239,40.54,27.89,0.32,26.1,14.44,3.06,5.57,,7.68
Belgium,2016,99.816,8.808,13.476,34.369,47.124,447144517813.0,,4425.2,0.26445,57.77,26.54,0.37,43.52,14.25,3.1,5.42,,5.35
Belgium,2017,99.282,8.727,13.247,35.03,46.258,454386396677.0,,4320.7,0.2867,58.03,27.31,0.27,42.23,15.8,3.31,6.52,,5.83
Belgium,2018,100.256,8.772,13.297,36.104,45.875,462533269863.0,,4730.2,0.28800000000000003,45.76,28.11,0.29,28.6,17.16,3.9,7.57,,15.88
Belgium,2019,99.799,8.685,13.156,36.224,45.341,472897988852.0,,4619.4,0.28495,62.97,29.72,0.3,43.52,19.45,4.25,9.75,,24.84
Belgium,2020,91.255,7.908,10.466,36.073,40.098,447544069854.0,,3727.2,0.2747,57.88,30.41,0.27,34.43,23.45,5.11,12.81,,24.75
Belgium,2021,94.928,8.204,11.762,36.281,42.152,474995824355.0,,3608.7,0.2848,73.08,26.32,0.42,50.33,22.75,5.62,12.0,,53.55
Belgium,2022,88.915,7.638,11.903,31.174,41.466,489678394377.0,,4082.8,0.3963,68.31,26.02,0.27,43.88,24.43,6.88,12.35,,80.87
Belgium,2023,84.703,7.232,10.431,29.155,41.188,,,3642.8,0.4064,60.39,21.74,0.4,32.93,27.46,7.83,15.44,,85.3
Bulgaria,2010,47.816,6.429,29.294,5.386,10.912,109045208364.0,,2846.0,0.08215,21.01,24.92,5.03,15.25,5.76,0.01,0.68,,14.38
Bulgaria,2011,53.12,7.198,34.481,6.151,10.107,109435363210.0,,3362.0,0.085,20.2,29.76,2.87,16.31,3.89,0.1,0.86,,13.07
Bulgaria,2012,48.277,6.598,29.412,5.753,10.627,110261509885.0,,2506.0,0.09004999999999999,21.03,25.43,3.18,15.78,5.25,0.78,1.22,,7.33
